score,l_pol,r_pol,valence,song,,,,,,,,l_pol_old,r_pol_old
6,294.9196429,293.8519793,0.788,88,,,,,,,,10.63041126,10.95394565
6,285.4761905,262.5396341,0.383,familiar light,,,,,,,,13.49206349,20.44253511
6,312.6315789,315.7189153,0.318,country clutter,,,,,,,,5.263157895,4.327601411
6,247.3172043,294.155,0.357,123 goodbye,,,,,,,,25.05539264,10.86212121
6,308.1883041,292.4454545,0.373,moment 4 life,,,,,,,,6.60960482,11.38016529
6,330,278.8058833,0.6,ta det lugnt,,,,,,,,0,15.51336868
6,391.9404762,287.9090608,0.649,song so wrong,,,,,,,,-18.76984127,12.75483005
6,354.3571429,307.1083333,0.312,the dead stare,,,,,,,,-7.380952381,6.936868687
6,321.6316392,263.6071429,0.541,rambling through the avenues of time,,,,,,,,2.535866911,20.11904762
6,300.797619,303.9349421,0.825,my number,,,,,,,,8.849206349,7.898502389
6,335.5111607,273.8285751,0.435,feel alright,,,,,,,,-1.670048701,17.0216439
6,338.5673077,321.9217857,0.293,take me to the hospital,,,,,,,,-2.596153846,2.447943723
6,355.1428571,300.6361111,0.113,the face in the embryo,,,,,,,,-7.619047619,8.898148148
6,349.8,329.1833333,0.489,cream of the young,,,,,,,,-6,0.247474747
6,274.7467105,303.2890816,0.689,heartfelt,,,,,,,,16.74342105,8.094217687
6,304.6153846,298.43769,0.67,mind of war,,,,,,,,7.692307692,9.564336373
6,216.8269231,263.5408193,0.524,lonely richard,,,,,,,,34.29487179,20.13914566
6,329.5625,290.5508242,0.192,not adam jason forrest remix,,,,,,,,0.132575758,11.9542957
6,291.7512458,310.8565324,0.29,mr goodbar,,,,,,,,11.59053156,5.801050801
6,330,287.1179453,0.353,hangover bababa,,,,,,,,0,12.99456202
6,214.5,258.9316327,0.0998,sleep forever,,,,,,,,35,21.53586889
6,349.7612179,316.1146825,0.572,big night,,,,,,,,-5.988247863,4.207671958
6,231,302.8243603,0.113,pieces,,,,,,,,30,8.235042321
6,330,267.0438444,0.16,port antonio,,,,,,,,0,19.07762292
6,263.3125,275.721875,0.691,british columbia,,,,,,,,20.20833333,16.44791667
6,330,283.3459302,0.147,ci sono molti modi,,,,,,,,0,14.1375969
6,326.7916667,287.215301,0.431,meditation,,,,,,,,0.972222222,12.9650603
6,338.2953297,284.8231516,0.128,sacrifice,,,,,,,,-2.513736264,13.68995405
6,324.3763441,293.3049972,0.557,wheels,,,,,,,,1.704138156,11.11969781
6,303.7440476,264.989599,0.966,when they fight they fight,,,,,,,,7.956349206,19.70012152
6,407.7451389,268.1875,0.469,gone like the water,,,,,,,,-23.559133,18.73106061
6,337.5759804,273.9520503,0.465,one man,,,,,,,,-2.295751634,16.98422719
6,344.3657575,311.4273148,0.888,new application,,,,,,,,-4.353259859,5.62808642
6,320.6954887,321.0391156,0.56,siri open tinder,,,,,,,,2.819548872,2.715419501
6,181.5,295.3982794,0.583,brown eyed lady,,,,,,,,45,10.48536989
6,330,315.6077381,0.252,here it comes again,,,,,,,,0,4.361291486
6,226.05,277.7017637,0.397,ode to lrc,,,,,,,,31.5,15.8479504
6,342.6696429,285.5313492,0.0969,your weak hands,,,,,,,,-3.839285714,13.47534873
6,201.1166667,262.3996118,0.303,the greatest view,,,,,,,,39.05555556,20.48496612
6,330.6111111,310.3915907,0.332,closure,,,,,,,,-0.185185185,5.941942219
6,290.6979167,299.5056818,0.469,needle,,,,,,,,11.90972222,9.240702479
6,185.625,284.7407792,0.705,know me,,,,,,,,43.75,13.71491539
6,286.9114583,273.6407143,0.276,own stunts,,,,,,,,13.05713384,17.07857143
6,330,266.889881,0.191,my wife,,,,,,,,0,19.1242785
6,302.8439503,291.2529762,0.0787,werewolf,,,,,,,,8.229105963,11.74152237
6,198,288.2287143,0.0834,daisy,,,,,,,,40,12.65796537
6,346.0089286,296.7129563,0.392,takers,,,,,,,,-4.851190476,10.08698292
6,267.0769231,295.6128993,0.916,pave your way into tomorrow,,,,,,,,19.06759907,10.42033353
6,336.5639098,280.451393,0.262,blue velvet,,,,,,,,-1.989063568,15.0147294
6,399.3,286.6837302,0.957,me,,,,,,,,-21,13.12614238
6,354.725,295.2419951,0.222,glue,,,,,,,,-7.492424242,10.53272877
